"","Team","Athlete","Score","Remark","Sex","Group","Form"
"281","SVK","Jan HARGAS",8.6,"","M","Group C"," Imitation Styles"
"282","ITA","Doriano EDOSINI",8.6,"","M","Group C"," Imitation Styles"
"283","GER","Sven Teichmann",8.56,"","M","Group C"," Imitation Styles"
"284","FRA","BAZI Ichem",8.54,"","M","Group C"," Imitation Styles"
"285","MEX","Fernando CARDONA",8.53,"","M","Group C"," Imitation Styles"
"286","RUS","Dmitrii ROGOV",8.88,"1st Category Prize","M","Group D"," Imitation Styles"
"287","ROU","Serbanescu Mihai",8.82,"2nd Category Prize","M","Group D"," Imitation Styles"
"288","LAT","Aleksejs Gailiss",8.81,"3rd Category Prize","M","Group D"," Imitation Styles"
"289","ECU","PAUL PACHARD",8.77,"","M","Group D"," Imitation Styles"
"290","USA","Noah YEUNG",8.48,"1st Category Prize","M","Group A"," Cha Quan"
"291","USA","John HU",8.42,"2nd Category Prize","M","Group A"," Cha Quan"
"292","USA","Jacob Lion PROANO",8.41,"3rd Category Prize","M","Group A"," Cha Quan"
"293","ROU","Popa Andrei Daniel",8.4,"3rd Category Prize","M","Group A"," Cha Quan"
"294","ROU","Moise Vlad Ioan",8.39,"","M","Group A"," Cha Quan"
"295","USA","Daniel WANG",8.37,"","M","Group A"," Cha Quan"
"296","GEO","MARIAM TURMANIDZE",8.8,"1st Category Prize","W","Group B"," Cha Quan"
"297","HKG","SHAM Hui Yu Lydia",8.73,"2nd Category Prize","W","Group B"," Cha Quan"
"298","USA","Katherine HU",8.61,"2nd Category Prize","W","Group B"," Cha Quan"
"299","USA","Aileen MEMBRENO",8.55,"3rd Category Prize","W","Group B"," Cha Quan"
"300","USA","Bernice LUONG",8.52,"3rd Category Prize","W","Group B"," Cha Quan"
"301","USA","Adrian LUONG",8.51,"3rd Category Prize","W","Group B"," Cha Quan"
"302","USA","Shining XI",8.51,"3rd Category Prize","W","Group B"," Cha Quan"
"303","ROU","Cretu Iasmina Elena",8.5,"","W","Group B"," Cha Quan"
"304","ROU","Socaci Cindy Marie",8.48,"","W","Group B"," Cha Quan"
"305","ITA","Francesca MOSCA CIPRIANI",8.48,"","W","Group B"," Cha Quan"
"306","ROU","Serbanescu Mara",8.46,"","W","Group B"," Cha Quan"
"307","USA","Ayden NGUYEN",8.65,"1st Category Prize","M","Group B"," Cha Quan"
"308","ROU","Bleaja Cristea Alexandru",8.63,"2nd Category Prize","M","Group B"," Cha Quan"
"309","ROU","Grigorescu Anton Adamani",8.59,"2nd Category Prize","M","Group B"," Cha Quan"
"310","USA","Eddie QIAN",8.56,"3rd Category Prize","M","Group B"," Cha Quan"
"311","USA","Mason BRAYTON",8.56,"3rd Category Prize","M","Group B"," Cha Quan"
"312","USA","Bryan GAO",8.52,"3rd Category Prize","M","Group B"," Cha Quan"
"313","USA","Lianhao LI",8.5,"","M","Group B"," Cha Quan"
"314","SRI","B.D.PROMOD DERIC SHERMAN",8.48,"","M","Group B"," Cha Quan"
"315","USA","Jeffrey CHENG",8.45,"","M","Group B"," Cha Quan"
"316","HKG","HO Wing Keung",9.1,"1st Category Prize","M","Group E"," Traditional Yang Style Taijiquan"
"317","AUS","Choo Beng Chew",8.96,"1st Category Prize","M","Group E"," Traditional Yang Style Taijiquan"
"318","MAC","LEI IAM CHEONG",8.93,"2nd Category Prize","M","Group E"," Traditional Yang Style Taijiquan"
"319","AUS","Edward Nugent",8.91,"2nd Category Prize","M","Group E"," Traditional Yang Style Taijiquan"
"320","NZL","David Wong",8.91,"2nd Category Prize","M","Group E"," Traditional Yang Style Taijiquan"
"321","USA","Hoa NGUYEN",8.87,"3rd Category Prize","M","Group E"," Traditional Yang Style Taijiquan"
"322","CAN","Wu Lawrence Man Wai",8.79,"","M","Group E"," Traditional Yang Style Taijiquan"
"323","USA","Francis ROSICA",8.73,"","M","Group E"," Traditional Yang Style Taijiquan"
"324","JPN","JUNKO HIROSE",9.14,"1st Category Prize","W","Group D"," Traditional Wu Style Taijiquan"
"325","MAC","VONG MEI FONG",9.04,"2nd Category Prize","W","Group D"," Traditional Wu Style Taijiquan"
"326","HKG","LO Kam Fung",8.85,"3rd Category Prize","W","Group D"," Traditional Wu Style Taijiquan"
"327","HKG","FU Mi Wah",8.81,"3rd Category Prize","W","Group D"," Traditional Wu Style Taijiquan"
"328","HKG","WONG Chor Ying Christina",8.73,"","W","Group D"," Traditional Wu Style Taijiquan"
"329","HKG","CHOW Chi Lan",8.7,"","W","Group D"," Traditional Wu Style Taijiquan"
"330","JPN","JUNKO IRISAWA",9.06,"1st Category Prize","W","Group E"," Traditional Wu Style Taijiquan"
"331","CAN","Wu Louise",8.89,"2nd Category Prize","W","Group E"," Traditional Wu Style Taijiquan"
"332","HKG","LAM Ching Wah",8.87,"3rd Category Prize","W","Group E"," Traditional Wu Style Taijiquan"
"333","HKG","HO Kin Ping",8.85,"3rd Category Prize","W","Group E"," Traditional Wu Style Taijiquan"
"334","HKG","LAM Ching Wan",8.66,"","W","Group E"," Traditional Wu Style Taijiquan"
"335","HKG","WONG Lai Fong",8.56,"","W","Group E"," Traditional Wu Style Taijiquan"
"336","MAC","CHIANG CHI KEI",8.94,"1st Category Prize","W","Group B"," Other Traditional Taijiquan"
"337","USA","Serena LI",8.93,"2nd Category Prize","W","Group B"," Other Traditional Taijiquan"
"338","USA","Keyi SHI",8.92,"2nd Category Prize","W","Group B"," Other Traditional Taijiquan"
"339","NED","Abigail Man",8.9,"3rd Category Prize","W","Group B"," Other Traditional Taijiquan"
"340","USA","Catherine LUO",8.84,"3rd Category Prize","W","Group B"," Other Traditional Taijiquan"
"341","CAN","Claire Jie-Ching Lin",8.79,"3rd Category Prize","W","Group B"," Other Traditional Taijiquan"
"342","GBR","Lydia Lai Lydiate",8.79,"3rd Category Prize","W","Group B"," Other Traditional Taijiquan"
"343","KAZ","Orlyak Anna",8.76,"","W","Group B"," Other Traditional Taijiquan"
"344","ITA","Martina MUGNAI",8.71,"","W","Group B"," Other Traditional Taijiquan"
"345","USA","Ashley LIN",8.57,"","W","Group B"," Other Traditional Taijiquan"
"346","USA","Alexander YU",9.04,"1st Category Prize","M","Group B"," Other Traditional Taijiquan"
"347","EGY","Ahmed Abdelrahman Ali Khalil",8.98,"2nd Category Prize","M","Group B"," Other Traditional Taijiquan"
"348","EGY","Youssef Abdelrahman Ali Khalil",8.96,"2nd Category Prize","M","Group B"," Other Traditional Taijiquan"
"349","IND","ATHARV RHUSHIKESH MODAK",8.81,"3rd Category Prize","M","Group B"," Other Traditional Taijiquan"
"350","KUW","Abdelrahman Ibrahim REFAAT",8.81,"3rd Category Prize","M","Group B"," Other Traditional Taijiquan"
"351","GBR","Ping Hao Ng",8.75,"3rd Category Prize","M","Group B"," Other Traditional Taijiquan"
"352","USA","Samuel LI",8.69,"","M","Group B"," Other Traditional Taijiquan"
"353","USA","William NG",8.63,"","M","Group B"," Other Traditional Taijiquan"
"354","SRI","M.CHATHUSHAN PERERA",8.6,"","M","Group B"," Other Traditional Taijiquan"
"355","SRI","Y.K.YOHAN CHAMIKA LOURANCE",8.44,"","M","Group B"," Other Traditional Taijiquan"
"356","HKG","MOK Uen Ying Juanita",9.09,"1st Category Prize","W","Group C"," Other Traditional Taijiquan"
"357","JPN","MEGUMI YOSHIKAWA",9.04,"2nd Category Prize","W","Group C"," Other Traditional Taijiquan"
"358","COL","CHRISTINA GARCES VALENCIA",8.81,"3rd Category Prize","W","Group C"," Other Traditional Taijiquan"
"359","USA","Jane HARTONO",8.78,"","W","Group C"," Other Traditional Taijiquan"
"360","HKG","SAT Pak Long",9.01,"1st Category Prize","M","Group C"," Other Traditional Taijiquan"
"361","IRI","seyed hamed katouzi",8.98,"2nd Category Prize","M","Group C"," Other Traditional Taijiquan"
"362","ESP","DAVID MARTIN ALCALDE",8.98,"2nd Category Prize","M","Group C"," Other Traditional Taijiquan"
"363","RUS","Andrey ASKAROV",8.95,"3rd Category Prize","M","Group C"," Other Traditional Taijiquan"
"364","SRI","J.M.HIRUSHA MADUSHANKA",8.87,"3rd Category Prize","M","Group C"," Other Traditional Taijiquan"
"365","RSA","Thomas WIID",8.86,"3rd Category Prize","M","Group C"," Other Traditional Taijiquan"
"366","GRE","TSOLAKIDIS DIMITRIOS",8.86,"3rd Category Prize","M","Group C"," Other Traditional Taijiquan"
"367","YEM","YOUSEF ALI AL-KHUDHARI",8.86,"3rd Category Prize","M","Group C"," Other Traditional Taijiquan"
"368","UKR","Maksym Kolotilkin",8.82,"","M","Group C"," Other Traditional Taijiquan"
"369","SRI","M.M.R.MALINDA JAYASINGHE",8.8,"","M","Group C"," Other Traditional Taijiquan"
"370","USA","Vicki ARMES",9.03,"1st Category Prize","W","Group D"," Other Traditional Taijiquan"
"371","HKG","NG Mei Kuen",8.98,"1st Category Prize","W","Group D"," Other Traditional Taijiquan"
"372","MAS","LEE BOEY KOH",8.94,"1st Category Prize","W","Group D"," Other Traditional Taijiquan"
"373","JPN","YUKIKO YAMAJI",8.91,"2nd Category Prize","W","Group D"," Other Traditional Taijiquan"
"374","JPN","MIYUKI ITO",8.9,"2nd Category Prize","W","Group D"," Other Traditional Taijiquan"
"375","JPN","YOKO UKAI",8.89,"2nd Category Prize","W","Group D"," Other Traditional Taijiquan"
"376","JPN","NORIKO KAMATA",8.87,"2nd Category Prize","W","Group D"," Other Traditional Taijiquan"
"377","JPN","YOSHIE SATO",8.86,"2nd Category Prize","W","Group D"," Other Traditional Taijiquan"
"378","HKG","LAI Tsz Man",8.85,"2nd Category Prize","W","Group D"," Other Traditional Taijiquan"
"379","JPN","MINA MORIOKA",8.84,"3rd Category Prize","W","Group D"," Other Traditional Taijiquan"
"380","JPN","JUNKO KIDO",8.81,"3rd Category Prize","W","Group D"," Other Traditional Taijiquan"
"381","JPN","MIDORI TAKANO",8.81,"3rd Category Prize","W","Group D"," Other Traditional Taijiquan"
"382","BRU","Liew Shuk Shiar",8.8,"3rd Category Prize","W","Group D"," Other Traditional Taijiquan"
"383","RUS","Irina EVSTIGNEEVA",8.8,"3rd Category Prize","W","Group D"," Other Traditional Taijiquan"
"384","HKG","TANG Yuk Ling",8.78,"3rd Category Prize","W","Group D"," Other Traditional Taijiquan"
"385","JPN","NOBUKO YAMADA",8.76,"3rd Category Prize","W","Group D"," Other Traditional Taijiquan"
"386","NED","Sabine Bock",8.75,"3rd Category Prize","W","Group D"," Other Traditional Taijiquan"
"387","JPN","MIKIKO UEDA",8.75,"3rd Category Prize","W","Group D"," Other Traditional Taijiquan"
"388","USA","Sinyi JONES",8.74,"","W","Group D"," Other Traditional Taijiquan"
"389","JPN","HIROMI TAKATA",8.74,"","W","Group D"," Other Traditional Taijiquan"
"390","HKG","YU Fung Mei Patricia",8.73,"","W","Group D"," Other Traditional Taijiquan"
"391","FRA","CIABURRI-VICENTE Consiglia",8.72,"","W","Group D"," Other Traditional Taijiquan"
"392","JPN","SAORI SARAI",8.7,"","W","Group D"," Other Traditional Taijiquan"
"393","JPN","AKIKO KATO",8.7,"","W","Group D"," Other Traditional Taijiquan"
"394","RSA","Rutendo NGARA",8.68,"","W","Group D"," Other Traditional Taijiquan"
"395","JPN","SAKIKO KOMURO",8.68,"","W","Group D"," Other Traditional Taijiquan"
"396","JPN","EMIKO SAKUMA",8.65,"","W","Group D"," Other Traditional Taijiquan"
"397","RUS","Sergey SUKHOVEY",9.14,"1st Category Prize","M","Group D"," Other Traditional Taijiquan"
"398","LAT","Romans Vlasenko",9.01,"1st Category Prize","M","Group D"," Other Traditional Taijiquan"
"399","JPN","KIICHI KOBAYASHI",8.96,"2nd Category Prize","M","Group D"," Other Traditional Taijiquan"
"400","ESP","JUAN JOSE ESTRELLA SANCHEZ",8.96,"2nd Category Prize","M","Group D"," Other Traditional Taijiquan"
"401","USA","Wen-lin FAN",8.92,"2nd Category Prize","M","Group D"," Other Traditional Taijiquan"
"402","AUS","Yunkuo Wang",8.92,"2nd Category Prize","M","Group D"," Other Traditional Taijiquan"
"403","SVK","Marek SKOLUDA",8.9,"3rd Category Prize","M","Group D"," Other Traditional Taijiquan"
"404","SRI","S.D.L. KARUNARATHNA",8.86,"3rd Category Prize","M","Group D"," Other Traditional Taijiquan"
"405","USA","Bo LI",8.84,"3rd Category Prize","M","Group D"," Other Traditional Taijiquan"
"406","RUS","Natig VELIEV",8.84,"3rd Category Prize","M","Group D"," Other Traditional Taijiquan"
"407","HKG","NG Ho On",8.83,"","M","Group D"," Other Traditional Taijiquan"
"408","AUS","Pablo Barreto",8.82,"","M","Group D"," Other Traditional Taijiquan"
"409","COL","JOSE MIGUEL GOMEZ RANGES",8.81,"","M","Group D"," Other Traditional Taijiquan"
"410","IND","SOPAN SHANKAR KATKE",8.76,"","M","Group D"," Other Traditional Taijiquan"
"411","COL","EDGAR FERNANDEZ OBREGON",8.73,"","M","Group D"," Other Traditional Taijiquan"
"412","MAC","ZHAO NING",9.08,"1st Category Prize","W","Group E"," Other Traditional Taijiquan"
"413","JPN","MIDORI SAKAI",9.04,"1st Category Prize","W","Group E"," Other Traditional Taijiquan"
"414","JPN","SHIZUE KATO",9,"1st Category Prize","W","Group E"," Other Traditional Taijiquan"
"415","JPN","MIEKO KITO",8.95,"1st Category Prize","W","Group E"," Other Traditional Taijiquan"
"416","JPN","YASUKO HIMENO",8.91,"1st Category Prize","W","Group E"," Other Traditional Taijiquan"
"417","JPN","JUNKO SHISHIDO",8.9,"2nd Category Prize","W","Group E"," Other Traditional Taijiquan"
"418","JPN","MASAKO SHIMIZU",8.86,"2nd Category Prize","W","Group E"," Other Traditional Taijiquan"
"419","JPN","CHIEKO YABE",8.85,"2nd Category Prize","W","Group E"," Other Traditional Taijiquan"
"420","JPN","EMI SAITO",8.85,"2nd Category Prize","W","Group E"," Other Traditional Taijiquan"
"421","JPN","TOMIKO SAWAOKA",8.83,"2nd Category Prize","W","Group E"," Other Traditional Taijiquan"
"422","JPN","KIYOKO SAGA",8.83,"2nd Category Prize","W","Group E"," Other Traditional Taijiquan"
"423","HKG","LEE Chun Chun",8.83,"2nd Category Prize","W","Group E"," Other Traditional Taijiquan"
"424","JPN","HIROKO SAKAI",8.82,"3rd Category Prize","W","Group E"," Other Traditional Taijiquan"
"425","JPN","EMIKO YAMADA",8.81,"3rd Category Prize","W","Group E"," Other Traditional Taijiquan"
"426","JPN","TOMOKO TAKANO",8.81,"3rd Category Prize","W","Group E"," Other Traditional Taijiquan"
"427","JPN","JUNKO UEDA",8.79,"3rd Category Prize","W","Group E"," Other Traditional Taijiquan"
"428","JPN","FUMIKO TANABE",8.78,"3rd Category Prize","W","Group E"," Other Traditional Taijiquan"
"429","JPN","FUMIE RYUZAKI",8.76,"","W","Group E"," Other Traditional Taijiquan"
"430","JPN","FUMIKO SHIMIZU",8.76,"","W","Group E"," Other Traditional Taijiquan"
"431","JPN","SETSUKO TOBITA",8.75,"","W","Group E"," Other Traditional Taijiquan"
"432","RSA","Anneke LUYT",8.73,"","W","Group E"," Other Traditional Taijiquan"
"433","JPN","HIDEKO NAKAJIMA",8.67,"","W","Group E"," Other Traditional Taijiquan"
"434","JPN","KUMIKO OHNISHI",8.66,"","W","Group E"," Other Traditional Taijiquan"
"435","CAN","Zhu Ming",9.06,"1st Category Prize","M","Group E"," Traditional Taijiquan"
"436","CAN","Ng Pang Yee Allen",8.96,"1st Category Prize","M","Group E"," Traditional Taijiquan"
"437","AUS","Stephen Haochuan Lin",8.92,"1st Category Prize","M","Group E"," Traditional Taijiquan"
"438","MAC","MA WA CHIO",8.91,"1st Category Prize","M","Group E"," Traditional Taijiquan"
"439","MAS","SAY PENG YEO",8.85,"2nd Category Prize","M","Group E"," Traditional Taijiquan"
"440","MAC","KOU KAM HONG",8.83,"2nd Category Prize","M","Group E"," Traditional Taijiquan"
"441","JPN","MASAHARU ISHIKAWA",8.83,"2nd Category Prize","M","Group E"," Traditional Taijiquan"
"442","JPN","AKIRA YONEMOTO",8.83,"2nd Category Prize","M","Group E"," Traditional Taijiquan"
"443","AUS","Brian Corless",8.82,"3rd Category Prize","M","Group E"," Traditional Taijiquan"
"444","HKG","NG Chor Wai",8.8,"3rd Category Prize","M","Group E"," Traditional Taijiquan"
"445","USA","Richard JONES",8.79,"3rd Category Prize","M","Group E"," Traditional Taijiquan"
"446","JPN","MASAKI KAWASAKI",8.78,"3rd Category Prize","M","Group E"," Traditional Taijiquan"
"447","JPN","KENZO OKAMOTO",8.78,"3rd Category Prize","M","Group E"," Traditional Taijiquan"
"448","ARG","Juan Jose Naranjo",8.78,"3rd Category Prize","M","Group E"," Traditional Taijiquan"
"449","JPN","ANRI TAKEDA",8.77,"","M","Group E"," Traditional Taijiquan"
"450","HKG","YAU Kar Wai",8.77,"","M","Group E"," Traditional Taijiquan"
"451","HKG","YEUNG Yuk Shing",8.76,"","M","Group E"," Traditional Taijiquan"
"452","HKG","CHEUNG Chun Wah",8.74,"","M","Group E"," Traditional Taijiquan"
"453","JPN","ATSUSHI SUGIURA",8.74,"","M","Group E"," Traditional Taijiquan"
"454","HKG","TANG Chi Man",8.7,"","M","Group E"," Traditional Taijiquan"
"455","RUS","Alina PODOLSKAYA",9.01,"1st Category Prize","W","Group C"," Cha Quan"
"456","TUR","Elif AKYUZ",8.93,"2nd Category Prize","W","Group C"," Cha Quan"
"457","RUS","Anastasia ANTIPINA",8.91,"3rd Category Prize","W","Group C"," Cha Quan"
"458","USA","Janel TJIONG",8.8,"3rd Category Prize","W","Group C"," Cha Quan"
"459","USA","Courtney RANDOLPH",8.76,"","W","Group C"," Cha Quan"
"460","USA","Melissa YAHYA",8.66,"","W","Group C"," Cha Quan"
"461","RUS","Iliyas KHUSNUTDINOV",9.06,"1st Category Prize","M","Group C"," Cha Quan"
"462","RUS","Denis KAZANTSEV",9,"2nd Category Prize","M","Group C"," Cha Quan"
"463","RUS","Dmitry MININ",8.95,"2nd Category Prize","M","Group C"," Cha Quan"
"464","USA","Max WOOD-LEE",8.92,"3rd Category Prize","M","Group C"," Cha Quan"
"465","ROU","Zamolo Giuliano Isa",8.9,"3rd Category Prize","M","Group C"," Cha Quan"
"466","USA","Krist CALDWELL",8.82,"","M","Group C"," Cha Quan"
"467","SRI","H.M.P.MANURANGA",8.79,"","M","Group C"," Cha Quan"
"468","SRI","N.K.C.S. RATHNASIRI",8.74,"","M","Group C"," Cha Quan"
"469","CHN","LI DAN",8.78,"1st Category Prize","W","Group C"," Wudang Quan"
"470","KGZ","Eles KOKUMBEK KYZY",8.68,"2nd Category Prize","W","Group C"," Wudang Quan"
"471","KGZ","Gulfiia DZHOLCHUBEKOVA",8.64,"3rd Category Prize","W","Group C"," Wudang Quan"
"472","KGZ","Aisulu ASANKULOVA",8.63,"3rd Category Prize","W","Group C"," Wudang Quan"
"473","KGZ","Liubov SERIAKOVA",8.6,"","W","Group C"," Wudang Quan"
"474","ITA","Alessandro PIRAS",8.95,"1st Category Prize","M","Group C"," Wudang Quan"
"475","MEX","Leonel PEDRAZA",8.8,"2nd Category Prize","M","Group C"," Wudang Quan"
"476","ITA","Ivo ZEDDA",8.77,"3rd Category Prize","M","Group C"," Wudang Quan"
"477","NOR","Kim Gibson",8.75,"3rd Category Prize","M","Group C"," Wudang Quan"
"478","ESP","MARIO SIMON GARCIA",8.67,"","M","Group C"," Wudang Quan"
"479","USA","Kaylie SHOOK",8.45,"1st Category Prize","W","Group O","ther Traditional Quan"
"480","USA","Katherine YOUNG",8.44,"2nd Category Prize","W","Group O","ther Traditional Quan"
"481","TUR","Ayse Sude AKYUZ",8.41,"2nd Category Prize","W","Group O","ther Traditional Quan"
"482","UKR","Khymchenko Kamila",8.4,"2nd Category Prize","W","Group O","ther Traditional Quan"
"483","USA","Rachel YANG",8.39,"3rd Category Prize","W","Group O","ther Traditional Quan"
"484","USA","Chloe SHIUE",8.38,"3rd Category Prize","W","Group O","ther Traditional Quan"
"485","USA","Mariella BRAYTON",8.36,"3rd Category Prize","W","Group O","ther Traditional Quan"
"486","INA","KEISYA AZAHRA",8.34,"3rd Category Prize","W","Group O","ther Traditional Quan"
"487","USA","Liana SEMET",8.33,"","W","Group O","ther Traditional Quan"
"488","USA","Elise YEUNG",8.29,"","W","Group O","ther Traditional Quan"
"489","ROU","Moise Maria Alexandra",8.27,"","W","Group O","ther Traditional Quan"
"490","IND","SIDDHI SANJAY SHINDE",8.25,"","W","Group O","ther Traditional Quan"
"491","USA","Fiona BARNHART",8.2,"","W","Group O","ther Traditional Quan"
"492","USA","Lucas DONG",8.45,"1st Category Prize","M","Group A"," Traditional Quan"
"493","USA","Casey LEW",8.38,"1st Category Prize","M","Group A"," Traditional Quan"
"494","USA","Kia NAMAKI",8.36,"2nd Category Prize","M","Group A"," Traditional Quan"
"495","MAS","KAI WEN YANG",8.35,"2nd Category Prize","M","Group A"," Traditional Quan"
"496","USA","Banyan JULLIAN",8.35,"2nd Category Prize","M","Group A"," Traditional Quan"
"497","USA","Brad WU",8.32,"3rd Category Prize","M","Group A"," Traditional Quan"
"498","USA","Anthony GUAN",8.3,"3rd Category Prize","M","Group A"," Traditional Quan"
"499","USA","Donghe ZHANG",8.3,"3rd Category Prize","M","Group A"," Traditional Quan"
"500","BRU","Abel Lim Wee Yuan",8.27,"3rd Category Prize","M","Group A"," Traditional Quan"
"501","USA","Kael NGUYEN",8.26,"3rd Category Prize","M","Group A"," Traditional Quan"
"502","LAT","Maksim Kleymenov",8.25,"","M","Group A"," Traditional Quan"
"503","RSA","Jamie Marshall WOOLMER",8.25,"","M","Group A"," Traditional Quan"
"504","USA","Michael LU",8.22,"","M","Group A"," Traditional Quan"
"505","FRA","RAESE Rayan",8.2,"","M","Group A"," Traditional Quan"
"506","RSA","Ntsakiso CHAUKE",8.15,"","M","Group A"," Traditional Quan"
"507","HKG","YEUNG Michelle",8.79,"1st Category Prize","W","Group B"," Other Types of Traditional Quan"
"508","USA","Ava YU",8.76,"1st Category Prize","W","Group B"," Other Types of Traditional Quan"
"509","RUS","Apolinariya KOZHEVNIKOVA",8.75,"2nd Category Prize","W","Group B"," Other Types of Traditional Quan"
"510","TUR","Feyza CAPOGLU",8.75,"2nd Category Prize","W","Group B"," Other Types of Traditional Quan"
"511","USA","Angela WANG",8.69,"2nd Category Prize","W","Group B"," Other Types of Traditional Quan"
"512","TPE","WU yueh ling",8.67,"3rd Category Prize","W","Group B"," Other Types of Traditional Quan"
"513","USA","Kylie JONES",8.56,"3rd Category Prize","W","Group B"," Other Types of Traditional Quan"
"514","USA","Katherine HO",8.51,"3rd Category Prize","W","Group B"," Other Types of Traditional Quan"
"515","USA","Tori MATULA",8.51,"3rd Category Prize","W","Group B"," Other Types of Traditional Quan"
"516","LAT","Polina Malahova",8.5,"3rd Category Prize","W","Group B"," Other Types of Traditional Quan"
"517","EST","Anete Korve",8.5,"3rd Category Prize","W","Group B"," Other Types of Traditional Quan"
"518","MAS","SHAFEI LEE",8.46,"","W","Group B"," Other Types of Traditional Quan"
"519","BRU","Li ZiYan",8.43,"","W","Group B"," Other Types of Traditional Quan"
"520","USA","Mataya WOODARD",8.4,"","W","Group B"," Other Types of Traditional Quan"
"521","BRU","Lim Yee Sean",8.38,"","W","Group B"," Other Types of Traditional Quan"
"522","SRI","A.V.AKESHA DE SILVA",8.26,"","W","Group B"," Other Types of Traditional Quan"
"523","TUR","Necmettin erbakan AKYUZ",8.76,"1st Category Prize","M","Group B"," Other Traditional Quan"
"524","RUS","Nikita TITOV",8.7,"1st Category Prize","M","Group B"," Other Traditional Quan"
"525","TPE","LIU chang min",8.68,"2nd Category Prize","M","Group B"," Other Traditional Quan"
"526","USA","Brandon CHENG",8.64,"2nd Category Prize","M","Group B"," Other Traditional Quan"
"527","USA","Seth ROSEN",8.62,"2nd Category Prize","M","Group B"," Other Traditional Quan"
"528","RUS","Arseniii ULIANCHIK",8.61,"2nd Category Prize","M","Group B"," Other Traditional Quan"
"529","USA","William TEPPENPAW",8.6,"3rd Category Prize","M","Group B"," Other Traditional Quan"
"530","BRA","Gabriel Augusto de Oliveira FERREIRA",8.6,"3rd Category Prize","M","Group B"," Other Traditional Quan"
"531","USA","Alan TONG",8.57,"3rd Category Prize","M","Group B"," Other Traditional Quan"
"532","USA","Minh THAI",8.57,"3rd Category Prize","M","Group B"," Other Traditional Quan"
"533","USA","Srinivas BALAGOPAL",8.55,"3rd Category Prize","M","Group B"," Other Traditional Quan"
"534","JPN","AYUMU SHINAGAWA",8.51,"3rd Category Prize","M","Group B"," Other Traditional Quan"
"535","USA","Ethan DANCHO",8.51,"3rd Category Prize","M","Group B"," Other Traditional Quan"
"536","USA","Matthew CHAN",8.51,"3rd Category Prize","M","Group B"," Other Traditional Quan"
"537","TPE","CHANG yu hsien",8.5,"","M","Group B"," Other Traditional Quan"
"538","USA","Ryan WONG",8.5,"","M","Group B"," Other Traditional Quan"
"539","BRU","Ericsson Bong Cheng Loong",8.43,"","M","Group B"," Other Traditional Quan"
"540","MEX","Carlos VERA",8.4,"","M","Group B"," Other Traditional Quan"
"541","BRU","Aaron Phung JinYi",8.38,"","M","Group B"," Other Traditional Quan"
"542","SRI","H.G.T.S SAMARAKOON",8.28,"","M","Group B"," Other Traditional Quan"
"543","FRA","RAESE Shayan",8.25,"","M","Group B"," Other Traditional Quan"
"544","RSA","Cameron Lee KHAN",8.2,"","M","Group B"," Other Traditional Quan"
"545","CHN","WANG DEMING",9.19,"1st Category Prize","M","Group E"," Other Traditional Quan"
"546","USA","Freddie HARPER",8.96,"1st Category Prize","M","Group E"," Other Traditional Quan"
"547","USA","Wesley BISHOP",8.91,"2nd Category Prize","M","Group E"," Other Traditional Quan"
"548","USA","Ebert KAN",8.9,"2nd Category Prize","M","Group E"," Other Traditional Quan"
"549","KGZ","Evgenii LOPATKIN",8.86,"3rd Category Prize","M","Group E"," Other Traditional Quan"
"550","MAS","CHENG LEONG CHEONG",8.84,"3rd Category Prize","M","Group E"," Other Traditional Quan"
"551","BOL","Ernesto Rodriguez Sanchez",8.83,"3rd Category Prize","M","Group E"," Other Traditional Quan"
"552","MAS","WENG SENG NG",8.81,"","M","Group E"," Other Traditional Quan"
"553","MAS","SENG BOX SAW",8.77,"","M","Group E"," Other Traditional Quan"
"554","MAS","EWE HOCK TEH",8.75,"","M","Group E"," Other Traditional Quan"
"555","RUS","Vladimir INSANOV",8.72,"","M","Group E"," Other Traditional Quan"
"556","CZE","Karel Korenc",8.5,"1st Category Prize","M","Group A"," Shaolin Quan"
"557","TPE","CHEN yao tso",8.47,"2nd Category Prize","M","Group A"," Shaolin Quan"
"558","BRA","Dylan WENTAO TER",8.44,"2nd Category Prize","M","Group A"," Shaolin Quan"
"559","BRA","Lucas Anten HONG",8.43,"3rd Category Prize","M","Group A"," Shaolin Quan"
"560","JPN","YUZUKI TAKAHASHI",8.42,"3rd Category Prize","M","Group A"," Shaolin Quan"
"561","KAZ","Orazaly Ramazan",8.33,"","M","Group A"," Shaolin Quan"
"562","BOL","Huaskar Huanacuni Pinedo",8.01,"","M","Group A"," Shaolin Quan"
"563","FRA","BEKAERT Raphael",7.98,"","M","Group A"," Shaolin Quan"
"564","FRA","DROUARD Loan",8.7,"1st Category Prize","M","Group B"," Shaolin Quan"
"565","GER","Jessy Merten",8.64,"1st Category Prize","M","Group B"," Shaolin Quan"
"566","KAZ","Rustamov Attila",8.62,"1st Category Prize","M","Group B"," Shaolin Quan"
"567","USA","Kevin CHANG",8.61,"2nd Category Prize","M","Group B"," Shaolin Quan"
"568","NED","Dan Radulescu",8.6,"2nd Category Prize","M","Group B"," Shaolin Quan"
"569","TUN","firas sayahi",8.57,"2nd Category Prize","M","Group B"," Shaolin Quan"
"570","KAZ","Kenzhegarin Batyrbek",8.56,"2nd Category Prize","M","Group B"," Shaolin Quan"
